Code,Description,Airport Name,Latitude,Longitude
10074,"Cape Sarichef, AK: Cape Sarichef Airport",Cape Sarichef Airport,54.5825,-164.91444444
10075,"Taylor Mountain Mine, AK: Taylor Mountain",Taylor Mountain,60.86777778,-157.39194444
10076,"Yukon Charley Rivvers, AK: Coal Creek",Coal Creek,65.31166667,-143.13416667
10078,"Karluk Portage, AK: Karluk Portage Airport",Karluk Portage Airport,57.53833333,-154.16444444
10079,"Hope, AK: Hope Airport",Hope Airport,60.90722222,-149.62277778
10080,"Viekoda Bay, AK: Viekoda Bay Airport",Viekoda Bay Airport,57.84944444,-153.11527778
10082,"Cold Bay, AK: Cathedral Strip",Cathedral Strip,55.74,-162.12527778
10083,"Village Islands, AK: Village Islands Airport",Village Islands Airport,57.77416667,-153.54472222
10084,"Homer, AK: Bear Cove Farm",Bear Cove Farm,59.73833333,-151.03
10085,"Chinitna Bay, AK: Chinitna Bay Airport",Chinitna Bay Airport,59.83333333,-152.58472222
10086,"McKinley Park, AK: McKinley National Park",McKinley National Park,63.7325,-148.91055556
10087,"Nanwalek, AK: Dog Fish Bay",Dog Fish Bay,59.24111111,-151.87722222
10088,"Malina Bay, AK: Malina Bay Airport",Malina Bay Airport,58.17194444,-152.89416667
10089,"Red Fox Bay, AK: Red Fox Bay Airport",Red Fox Bay Airport,58.46444444,-152.59305556
10090,"Shearwater, AK: Shearwater Airport",Shearwater Airport,57.34333333,-152.89722222
10091,"Cape Simpson, AK: Lake",Lake,71.03,-154.44361111
10092,"Cape Simpson, AK: Cape Simpson No. 1",Cape Simpson No. 1,71.50166667,-154.03388889
10093,"Cape Simpson, AK: Cape Simpson No. 7",Cape Simpson No. 7,70.57388889,-155.32138889
10094,"Aglaq, AK: Cape Simpson #1",Cape Simpson #1,70.66277778,-154.83666667
10095,"Nikiski, AK: Nikiski Private Airstrip",Nikiski Private Airstrip,60.69027778,-151.28888889
10096,"Petrof Point, AK: Petrof Point Airport",Petrof Point Airport,59.37638889,-150.765
10097,"Denali, AK: Denali West Lodge Private",Denali West Lodge Private,63.75555556,-147.93
10098,"Big River, AK: Big River Airport",Big River Airport,61.85944444,-154.27666667
10100,"Carry Inlet, AK: Carry Inlet Airport",Carry Inlet Airport,58.58305556,-152.44583333
10102,"Montague Island, AK: Montague Island Airport",Montague Island Airport,59.925,-147.51666667
10103,"Shannon Pond, AK: Shannon Pond Airport",Shannon Pond Airport,59.03916667,-158.46388889
10104,"Omalik Lagoon, AK: Omalik Lagoon Airport",Omalik Lagoon Airport,69.15555556,-163.49722222
10105,"Omolik Lagoon, AK: Omolik Lagoon Airport",Omolik Lagoon Airport,69.14805556,-163.51027778
10106,"Bradley Lake Project, AK: Bradley Lake Project Airport",Bradley Lake Project Airport,59.79166667,-151.26666667
10107,"Barrow, AK: Ice Strip",Ice Strip,70.98083333,-157.095
10108,"Barrow, AK: Ice Strip",Ice Strip,70.98083333,-157.095
10109,"Barrow, AK: Ice Strip",Ice Strip,70.98083333,-157.095
10110,"Akulik, AK: Akulik Air Strip",Akulik Air Strip,68.98555556,-163.47972222
10111,"Deadfall, AK: Deadfall Air Strip",Deadfall Air Strip,69.17083333,-163.25638889
10112,"Eagle Creek, AK: Eagle Creek Airport",Eagle Creek Airport,68.67666667,-162.64694444
10113,"Bethel, AK: Ice Kong",Ice Kong,59.95277778,-162.61694444
10116,"Kachemak Bay, AK: Glacier Split",Glacier Split,59.63333333,-151.20833333
10117,"Selby Lake, AK: Selby Lake Airport",Selby Lake Airport,66.95583333,-155.615
10118,"Anaa, French Polynesia: Anaa Airport",Anaa Airport,-17.3525,-145.51
10119,"Arrabury, Australia: Arrabury Station",Arrabury Station,-26.7,141.04166667
10120,"El Arish, Egypt: El Arish International",El Arish International,31.05444444,33.81916667
10121,"Annaba, Algeria: Rabah Bitat",Rabah Bitat,36.82944444,7.81388889
10122,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
10123,"Aachen, Germany: Aachen Merzbrueck",Aachen Merzbrueck,50.82166667,6.18416667
10124,"Arraias, Brazil: Arraias Airport",Arraias Airport,-13.02583333,-46.88361111
10125,"Aalborg, Denmark: Aalborg Airport",Aalborg Airport,57.09416667,9.85583333
10126,"Mala Mala, South Africa: Malamala",Malamala,-24.81694444,31.54416667
10127,"Al Ain, United Arab Emirates: Al Ain International",Al Ain International,24.26166667,55.60916667
10128,"Anaco, Venezuela: Anaco Airport",Anaco Airport,9.43,-64.47083333
10129,"Anapa, Russia: Vityazevo",Vityazevo,45.00222222,37.34722222
10130,"Aarhus, Denmark: Aarhus Airport",Aarhus Airport,56.30416667,10.61944444
10131,"Asau, Samoa: Asau W Sam",Asau W Sam,-13.51666667,-172.65
10132,"Araxa, Brazil: Romeu Zema",Romeu Zema,-19.56333333,-46.96027778
10134,"Abadan, Iran: Abadan Airport",Abadan Airport,30.36527778,48.23305556
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Lehigh Valley International,40.6525,-75.44027778
10136,"Abilene, TX: Abilene Regional",Abilene Regional,32.41138889,-99.68194444
10137,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International",Felix Houphouet Boigny Abidjan International,5.26138889,-3.92583333
10138,"Kabri Dar, Ethiopia: Kebri Dahar",Kebri Dahar,6.73277778,44.24138889
10139,"Ambler, AK: Ambler River",Ambler River,67.0875,-157.84583333
10140,"Albuquerque, NM: Albuquerque International Sunport",Albuquerque International Sunport,35.03888889,-106.60833333
10141,"Aberdeen, SD: Aberdeen Regional",Aberdeen Regional,45.44666667,-98.4225
10142,"Abu Simbel, Egypt: Abu Simbel Airport",Abu Simbel Airport,22.37583333,31.61166667
10143,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz",King Saud Bin Abdulaziz,20.29833333,41.63583333
10144,"Abuja, Nigeria: Nnamdi Azikiwe International",Nnamdi Azikiwe International,9.00666667,7.26305556
10145,"Albury, Australia: Albury Airport",Albury Airport,-36.06777778,146.95805556
10146,"Albany, GA: Southwest Georgia Regional",Southwest Georgia Regional,31.53555556,-84.19444444
10147,"Aberdeen, United Kingdom: Aberdeen Dyce",Aberdeen Dyce,57.20361111,-2.19916667
10148,"Acapulco, Mexico: Acapulco International",Acapulco International,16.75722222,-99.75388889
10149,"Bellaire, MI: Antrim County",Antrim County,44.98861111,-85.19833333
10150,"Accra, Ghana: Kotoka International",Kotoka International,5.605,-0.16722222
10151,"Arrecife, Spain: Lanzarote",Lanzarote,28.94555556,-13.60527778
10152,"Altenrhein, Switzerland: St Gallen Altenrhein",St Gallen Altenrhein,47.485,9.56
10153,"Alderney, United Kingdom: Alderney Airport",Alderney Airport,49.70694444,-2.21472222
10154,"Nantucket, MA: Nantucket Memorial",Nantucket Memorial,41.25333333,-70.06055556
10155,"Waco, TX: Waco Regional",Waco Regional,31.61222222,-97.23027778
10156,"Achutupo, Panama: Achutupo Airport",Achutupo Airport,8.43333333,-77.96666667
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",California Redwood Coast Humboldt County,40.97777778,-124.10833333
10158,"Atlantic City, NJ: Atlantic City International",Atlantic City International,39.4575,-74.57722222
10159,"Adana, Turkey: Adana International",Adana International,36.98222222,35.28027778
10160,"Izmir, Turkey: Adnan Menderes",Adnan Menderes,38.29222222,27.15583333
10161,"Andakombe, Papua New Guinea: Andakombe Airport",Andakombe Airport,-7.13722222,145.745
10162,"Addis Ababa, Ethiopia: Bole International",Bole International,8.97805556,38.79944444
10163,"Aden, Yemen: Aden International",Aden International,12.82944444,45.02888889
10164,"Amman, Jordan: Marka International",Marka International,31.97277778,35.99166667
10165,"Adak Island, AK: Adak",Adak,51.88361111,-176.6425
10166,"Adelaide, Australia: Adelaide International",Adelaide International,-34.9475,138.53333333
10167,"Ardmore, OK: Ardmore Municipal",Ardmore Municipal,34.30388889,-97.02055556
10168,"Andes, Colombia: Andes Airport",Andes Airport,5.69777778,-75.88027778
10169,"Andamooka, Australia: Andamooka Airport",Andamooka Airport,-30.43777778,137.13722222
10170,"Kodiak, AK: Kodiak Airport",Kodiak Airport,57.74972222,-152.49388889
10171,"Dallas, TX: Addison",Addison,32.96861111,-96.83638889
10172,"Camp Springs, MD: Joint Base Andrews",Joint Base Andrews,38.81083333,-76.86694444
10173,"St Andrews, United Kingdom: RAF Leuchars",RAF Leuchars,56.37416667,-2.86861111
10174,"San Andres Island, Colombia: Gustavo Rojas Pinilla",Gustavo Rojas Pinilla,12.58361111,-81.71111111
10175,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base",Al Dhafra Air Base,24.24833333,54.54777778
10176,"Aleneva, AK: Aleneva Airport",Aleneva Airport,58.03333333,-152.9
10177,"Padang Sidempuan, Indonesia: Aek Godang",Aek Godang,1.4,99.43055556
10178,"Abeche, Chad: Abeche Airport",Abeche Airport,13.8475,20.84333333
10180,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport",Aioun El Atrouss Airport,16.71138889,-9.63777778
10181,"Buenos Aires, Argentina: Aeroparque Jorge Newbery",Aeroparque Jorge Newbery,-34.55916667,-58.41583333
10182,"Adler/Sochi, Russia: Adler/Sochi Airport",Adler/Sochi Airport,43.45,39.93333333
10183,"Aalesund, Norway: Alesund",Alesund,62.56027778,6.11027778
10184,"Allakaket, AK: Allakaket Airport",Allakaket Airport,66.55194444,-152.62222222
10185,"Alexandria, LA: Alexandria International",Alexandria International,31.3275,-92.54861111
10186,"Akureyri, Iceland: Akureyri Airport",Akureyri Airport,65.65666667,-18.07194444
10188,"San Rafael, Argentina: San Rafael Airport",San Rafael Airport,-34.58777778,-68.40361111
10189,"Colorado Springs, CO: USAF Academy Davis Airfield",USAF Academy Davis Airfield,,
10190,"Nebraska, NE: Nebraska City Municipal",Nebraska City Municipal,40.60666667,-95.86666667
10191,"Afton, WY: Afton Lincoln County Gen Boyd L Eddins Field",Afton Lincoln County Gen Boyd L Eddins Field,,
10192,"Wadesboro, NC: Anson County Jeff Cloud Field",Anson County Jeff Cloud Field,35.02055556,-80.07722222
10194,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",Perot Field Fort Worth Alliance,32.99027778,-97.31944444
10195,"Afyon, Turkey: Afyon Airport",Afyon Airport,38.72638889,30.60111111
10196,"Agadir, Morocco: Inezgane",Inezgane,30.38138889,-9.54611111
10197,"Augsburg, Germany: Augsburg Airport",Augsburg Airport,48.42527778,10.93194444
10198,"Pittsburgh, PA: Allegheny County",Allegheny County,40.35444444,-79.92916667
10199,"Agen, France: Agen La Garenne",Agen La Garenne,44.17388889,0.59305556
10200,"Angoram, Papua New Guinea: Angoram Airport",Angoram Airport,-4.06583333,144.07388889
10201,"Angelholm/Helsingborg, Sweden: Angelholm",Angelholm,56.29138889,12.855
10202,"Kagua, Papua New Guinea: Kagua Airport",Kagua Airport,-6.40333333,143.84666667
10203,"Wanigela, Papua New Guinea: Wanigela Airport",Wanigela Airport,-9.3375,149.15555556
10204,"Angoon, AK: Angoon Seaplane Base",Angoon Seaplane Base,57.50388889,-134.58333333
10205,"Malaga, Spain: Malaga Airport",Malaga Airport,36.67972222,-4.49583333
10206,"Agrinion, Greece: Agrinion Airport",Agrinion Airport,38.60194444,21.35111111
10207,"Agra, India: Agra Airport",Agra Airport,27.15777778,77.96083333
10208,"Augusta, GA: Augusta Regional at Bush Field",Augusta Regional at Bush Field,33.37,-81.96444444
10209,"Ciudad del Este, Paraguay: Guarani International",Guarani International,-25.45555556,-54.84361111
10210,"Aguascalientes, Mexico: Aguascalientes International",Aguascalientes International,21.70555556,-102.31777778
10211,"Acarigua, Venezuela: Batalla de Araure",Batalla de Araure,,
10212,"Agatti Island, India: Agatti Island Airport",Agatti Island Airport,10.83333333,72.2
10213,"Okinawa, Japan: Naha AB",Naha AB,26.19194444,127.64777778
10214,"Abha, Saudi Arabia: Abha Airport",Abha Airport,18.24027778,42.65638889
10215,"Ardmore, OK: Ardmore Downtown Executive",Ardmore Downtown Executive,34.14694444,-97.12277778
10216,"Athens, GA: Athens/Ben Epps",Athens/Ben Epps,33.94861111,-83.32583333
10217,"Alghero/Sassari, Italy: Alghero",Alghero,40.63222222,8.29083333
10218,"Ahuas, Honduras: Auas",Auas,15.47277778,-84.35305556
10219,"Amchitka Island, AK: Amchitka",Amchitka,51.37861111,179.25861111
10220,"Al Hoceima, Morocco: Cherif El Idrissi International",Cherif El Idrissi International,35.17722222,-3.83944444
10221,"Alliance, NE: Alliance Municipal",Alliance Municipal,42.05333333,-102.80361111
10222,"Anita Bay, AK: Anita Bay Airport",Anita Bay Airport,56.19,-132.44583333
10223,"Anderson, IN: Anderson Regional",Anderson Regional,34.49444444,-82.70944444
10224,"Aiken, SC: Aiken Regional",Aiken Regional,33.64944444,-81.685
10225,"Wainwright, AK: Wainwright Airport",Wainwright Airport,70.63805556,-159.99472222
10226,"Aitutaki, Cook Islands: Aitutaki Airport",Aitutaki Airport,-18.83694444,-159.76111111
10227,"Atlantic City, NJ: Bader Field",Bader Field,39.36,-74.45722222
10228,"Lake of the Ozarks, MO: Lee C Fine Memorial",Lee C Fine Memorial,38.09611111,-92.54944444
10229,"Ajaccio, France: Ajaccio Napoleon Bonaparte",Ajaccio Napoleon Bonaparte,41.92166667,8.80111111
10230,"Jouf, Saudi Arabia: Al Jouf",Al Jouf,29.785,40.1
10231,"Akjoujt, Mauritania: Akjoujt Airport",Akjoujt Airport,19.72805556,-14.38527778
10232,"Aizwal, India: Lengpui",Lengpui,23.84055556,92.61972222
10233,"Anjouan, Comoros: Ouani",Ouani,-12.13111111,44.43055556
10234,"Arvidsjaur, Sweden: Arvidsjaur Airport",Arvidsjaur Airport,65.59166667,19.2775
10235,"Aracaju, Brazil: Santa Maria International",Santa Maria International,-10.98388889,-37.07027778
